variable	type	states_or_range	definition
E_EXP	binary{0,1}	{0=无,1=有}	实验/准实验/自然实验；需有干预/对照/随机或识别策略（DID/RDD/IV/RCT等），仅政策出台/背景不计。
E_STAT	binary{0,1}	{0=无,1=有}	统计/计量估计与检验（回归、Logit/Probit、方差分析、t/卡方、时序、因子/主成分等），仅描述性不计。
E_SURVEY	binary{0,1}	{0=无,1=有}	问卷/抽样/普查/横截面/纵向调查等原始调查设计或数据；单纯年鉴/公告不计。
E_CASE	binary{0,1}	{0=无,1=有}	案例/个案/比较/历史/过程溯源等以个案为核心的证据框架。
E_ETHNO	binary{0,1}	{0=无,1=有}	民族志/参与观察/田野；深度/半结构访谈、焦点小组、德尔菲、专家咨询、口述史/档案研究。
E_TEXT	binary{0,1}	{0=无,1=有}	文本/内容/话语分析或编码（人工或机器）。零散引用原文不计。
E_MODEL	binary{0,1}	{0=无,1=有}	系统动力学/仿真/主体模型、网络分析、GIS/空间/遥感/卫星、蒙特卡罗、HMM/LDA 等计算性工作；概念“模型”不计。
E_POLICYEVAL	binary{0,1}	{0=无,1=有}	以评估政策/项目成效为目标（含指标体系/监测/评估模型）；建议/路径不计。
E_MIXED	binary{0,1}	{0=无,1=有}	混合方法（并行/顺序/三角测量）或参与式/行动研究/跨学科集成。
E_NORM	binary{0,1}	{0=无,1=有}	规范/法理/概念/理论阐释/政策解读/思政等非实证路径。
MethodFamily	nominal{901..909}	{901调查统计,902实验,903建模与空间/网络/计算,904案例/比较/历史,905田野/访谈,906文本分析,907政策评估,908混合方法,909规范/解释}	要素到家族的映射结果；如缺失则按要素优先级派生。
MethodTag	integer	{见口径对照表}	团队既有互斥类取向标签（保留历史兼容）。
Methodology	integer	{1定性,2定量,3定性,4混合,5技术/计算}	与团队口径一致的范畴变量。
method_class	string	{'normative','empirical-quant/tech','empirical-qual','mixed','unknown'}	历史口径保留；如缺失根据家族派生粗分组。
MethodTransparency	binary{0,1}	{0不透明,1透明}	方法透明度（是否提供可复核的设计/数据/估计细节）。
PolicySalience	ordinal{0..3}	{0未知,1低,2中,3高}	政策显著性。
PoliticalSensitivity	ordinal{0..3}	{0未知,1低,2中,3高}	政治敏感性。
SecrecyConstraint	ordinal{0..3}	{0未知,1低,2中,3高}	保密约束。
DataAccess	ordinal{0..3}	{0未知,1低,2中,3高}	数据获得难度。
year	integer	[min,max]	发表年份。
topic	nominal{1..4}	{1国家安全学一级,2二级,3领域,4选题}	主题层级编码。
