element	name	include_rules	exclude_rules	border_notes	maps_to_family	typical_anchors
E_EXP	实验/准实验/自然实验	出现干预/介入/对照/随机/识别策略（DID/RDD/IV/RCT/断点/工具变量/控制组等）。	仅政策出台/宏观背景变化而无识别策略；干预未与对照比较。	政策冲击类研究需见到明确识别路径；自然实验需指明外生性与对照。	902实验	实验, 准实验, 自然实验, 随机, 对照组, DID, RDD, IV, RCT
E_STAT	统计/计量	有计量/统计估计与检验（回归、方差分析、t/卡方、因子/主成分、时间序列等）。	仅描述性统计或频数表；无参数估计/显著性检验。	调研数据若仅描述，不计；与E_SURVEY可并存。	901调查统计	回归, 计量, 显著性, t检验, 卡方, VAR, 因子, 主成分
E_SURVEY	调查	问卷/抽样/普查/横截面/纵向调查等原始调查设计或明确使用此类数据。	仅年鉴/公告/二手统计表；网络爬取不等于调查。	与E_STAT并存时，通常两者均为1。	901调查统计	调查, 问卷, 抽样, 普查, 横截面, 纵向
E_CASE	案例/比较/历史/过程溯源	以个案、比较、历史分析或过程追踪为核心证据框架。	仅轶事举例不足以构成案例框架；纯规范评述不计。	“案例+规范评析”需看证据主线是否以个案为中心。	904案例比较历史	案例, 个案, 比较, 历史, 过程溯源
E_ETHNO	民族志/访谈/专家	民族志/参与观察/田野；深度/半结构访谈、焦点小组、德尔菲、专家咨询；口述史/档案研究。	只在结论中“援引他人观点”不计；匿名网络评论不等于访谈。	若仅“专家撰稿/述评”而无收集设计，不计。	905田野访谈	民族志, 参与观察, 田野, 访谈, 焦点小组, 德尔菲, 专家咨询, 档案, 口述史
E_TEXT	文本/内容/话语	系统的文本/内容/话语分析或编码（人工/机器）。	零散引用原文、无体系的摘录不计；只出现“话语”一词而无方法不计。	若为主题模型/词向量等，E_MODEL可同时为1。	906文本分析	文本分析, 内容分析, 话语分析, 编码, 语料, 主题分析
E_MODEL	建模/仿真/网络/GIS/空间/遥感	系统动力学、仿真、主体模型、网络分析、GIS/空间计量、遥感/卫星、蒙特卡罗、HMM/LDA等。	仅提出“模型/框架/机制/路径”而无计算/仿真/网络/空间证据。	与E_TEXT并存时，应有清晰的计算流程或图模型。	903建模与空间网络计算	系统动力学, 仿真, 网络分析, GIS, 空间分析, 遥感, 卫星, 蒙特卡罗, HMM, LDA
E_POLICYEVAL	政策/项目评估	以评估政策/项目成效为目标（指标体系/监测/评估模型）。	仅政策建议/路径/优化不计；无“成效评估”目标不计。	与E_STAT常并存；亦可与E_MODEL共现（仿真评估）。	907政策评估	政策评估, 项目评估, 绩效评估, 成效评估, 指标体系, 监测评价
E_MIXED	混合/参与式/跨学科	混合方法（并行/顺序/三角测量）或参与式/行动研究/跨学科集成。	仅“多种材料拼接”而无明确设计不计。	声明“混合”需给出设计类型或并行/顺序逻辑。	908混合方法	混合方法, 并行混合, 顺序解释, 顺序探索, 三角测量, 参与式, 行动研究, 跨学科
E_NORM	规范/法理/概念/解读	规范/法理/概念分析/理论阐释/政策解读/思政等非实证路径。	一旦出现可复核的实证设计与数据，应同时点亮相应要素，E_NORM不“排他”。	“规范+案例”需看证据主线是否回到个案。	909规范解释	法理, 规范解释, 法律解释, 概念分析, 理论阐释, 政策解读, 思政
