element,n_pairs,alpha,alpha_ci_low,alpha_ci_high
E_TEXT,80,0.2235908921239268,-0.09607935758148338,0.5066803699897224
E_POLICYEVAL,80,-0.0062893081761006275,-0.025641025641025772,-0.0062893081761006275
E_ETHNO,80,-0.025641025641025772,-0.05402579295921921,-0.0062893081761006275
E_SURVEY,80,-0.032258064516129004,-0.06666666666666665,-0.0062893081761006275
E_MIXED,80,-0.032258064516129004,-0.06666666666666665,-0.0062893081761006275
E_STAT,80,-0.03896103896103886,-0.0738255033557047,-0.012658227848101333
E_MODEL,80,-0.06666666666666665,-0.11111111111111094,-0.032258064516129004
E_EXP,80,-0.35757575757575766,-0.5384615384615385,-0.17374499714122382
E_NORM,80,-0.40420599436992877,-0.5689114355419587,-0.24671539753506969
E_CASE,80,-0.797752808988764,-0.9047619047619049,-0.6842105263157894
