year,Empirical,Normative,Philosophical,Technical
1999,0.0,0.5,0.5,0.0
2000,0.4,0.4,0.2,0.0
2001,0.5,0.5,0.0,0.0
2002,0.25,0.25,0.5,0.0
2003,0.0,0.5,0.0,0.5
2004,0.4,0.2,0.4,0.0
2005,0.8,0.0,0.2,0.0
2006,0.3333333333333333,0.16666666666666666,0.5,0.0
2007,0.1875,0.6875,0.125,0.0
2008,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.0
2009,0.09523809523809523,0.38095238095238093,0.47619047619047616,0.047619047619047616
2010,0.375,0.125,0.4375,0.0625
2011,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.0
2012,0.25,0.5,0.1875,0.0625
2013,0.4,0.06666666666666667,0.4666666666666667,0.06666666666666667
2014,0.4444444444444444,0.3888888888888889,0.1111111111111111,0.05555555555555555
2015,0.4230769230769231,0.34615384615384615,0.23076923076923078,0.0
2016,0.4782608695652174,0.30434782608695654,0.13043478260869565,0.08695652173913043
2017,0.5294117647058824,0.058823529411764705,0.35294117647058826,0.058823529411764705
2018,0.4444444444444444,0.07407407407407407,0.3333333333333333,0.14814814814814814
2019,0.5555555555555556,0.16666666666666666,0.1388888888888889,0.1388888888888889
2020,0.7428571428571429,0.05714285714285714,0.08571428571428572,0.11428571428571428
2021,0.5909090909090909,0.13636363636363635,0.13636363636363635,0.13636363636363635
2022,0.6296296296296297,0.08148148148148149,0.05925925925925926,0.22962962962962963
2023,0.40625,0.14583333333333334,0.08333333333333333,0.3645833333333333
2024,0.65,0.1375,0.1125,0.1
2025,0.43529411764705883,0.15294117647058825,0.11764705882352941,0.29411764705882354
